policy_id,claim_amount,claim_date,claim_type,claim_id
6,921.4,2023-11-11,Collision,1
6,3399.9,2023-12-01,Theft,2
10,2449.64,2023-07-21,Fire,3
11,830.35,2023-04-06,,4
14,1568.95,2022-11-17,Theft,5
14,2485.5,2022-02-28,Theft,6
19,2708.11,2019-12-22,Collision,7
23,1793.34,2021-10-12,Collision,8
28,1012.04,2020-03-18,Collision,9
29,777.49,2022-06-14,Collision,10
999999,1261.95,2018-08-22,,11
30,2119.68,2018-04-28,Theft,12
31,3934.17,2021-11-24,Fire,13
32,1605.65,2021-06-24,Theft,14
34,1266.95,2023-12-07,Theft,15
34,1263.71,2023-03-05,Fire,16
35,1651.8,2024-03-05,Theft,17
37,551.48,2020-06-28,Collision,18
41,2726.42,2020-07-25,,19
42,2033.63,2020-08-20,Fire,20
48,2158.03,2023-11-02,Collision,21
66,755.51,2021-11-21,Fire,22
68,378.38,2022-12-06,Theft,23
68,1593.43,2022-03-18,Fire,24
70,1507.47,2022-06-22,,25
70,1378.21,2022-06-28,Theft,26
73,1064.46,2022-11-29,,27
77,2664.05,2023-12-17,Theft,28
80,1796.14,2021-08-13,Fire,29
999999,1479.61,2019-03-31,Fire,30
90,2245.05,2019-05-22,Theft,31
90,744.54,2020-03-03,Theft,32
93,-500.0,2019-09-10,Theft,33
97,903.56,2018-12-09,Theft,34
98,2138.44,2022-08-17,Theft,35
98,1415.24,2022-11-06,Fire,36
102,3197.91,2022-05-12,Fire,37
110,100000.0,2020-09-28,Fire,38
118,957.53,2022-09-30,Theft,39
119,1745.68,2023-03-24,Theft,40
119,2755.05,2022-11-09,Theft,41
125,1201.62,2020-07-16,Fire,42
126,566.62,2019-08-10,Collision,43
131,1486.23,2023-07-20,Fire,44
131,526.75,2024-02-08,Theft,45
131,3233.69,2023-08-02,Fire,46
133,3386.67,2021-01-20,Collision,47
136,4610.65,2023-08-20,Theft,48
137,1417.14,2018-11-16,Fire,49
140,2649.42,2022-02-22,Theft,50
141,1835.11,2022-06-15,Fire,51
144,1131.42,2019-08-14,Collision,52
145,582.97,2020-02-25,Theft,53
146,971.43,2020-06-09,Fire,54
146,1835.25,2020-06-04,Theft,55
148,561.78,2020-12-08,Collision,56
153,822.09,2019-06-02,,57
153,2181.03,2020-03-25,Collision,58
153,3596.42,2019-06-24,Collision,59
155,1819.38,2021-04-27,Collision,60
158,2685.5,2023-02-09,,61
159,805.58,2020-10-19,Collision,62
161,732.4,2023-04-30,Collision,63
161,1513.55,2022-11-18,Collision,64
161,505.97,2023-08-10,Theft,65
163,2687.84,2021-09-15,Fire,66
165,1686.34,2020-08-21,Collision,67
170,698.37,2022-12-28,Collision,68
171,1539.25,2022-01-14,Theft,69
172,161.92,2023-02-16,Theft,70
174,1480.28,2019-08-07,Fire,71
180,509.47,2022-09-26,,72
182,4271.8,2020-07-22,Collision,73
184,1181.7,2023-10-11,Fire,74
186,1629.76,2021-11-24,Collision,75
188,472.62,2019-11-26,Theft,76
192,1401.21,2019-05-11,Fire,77
193,1461.1,2018-10-18,Fire,78
194,100000.0,2019-12-07,Fire,79
195,2009.77,2019-12-21,Theft,80
198,1256.36,2020-01-29,Fire,81
